과목명,병원명,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10
임상심화실습1,원주세브란스기독병원,,,,,B10 B12 B16 B19 B28 B33 B4 B48,B31 B37 B41 B46,B32 B35 B36 B42,,,
임상심화실습1,경희의료원,,,,,,B1 B11 B13 B15 B17 B20 B23 B26 B29 B30 B40 B43 B44 B49 B8 B9,B14 B2 B21 B22 B24 B25 B27 B3 B45 B47 B5 B6,,,
임상심화실습1,동탄제일병원,,,,,,,,A10 A12 A14 A17 A18 A19 A20 A24,A13 A2 A3 A35 A36 A40 A43,A11 A21 A22 A23 A25 A27 A28
임상심화실습1,원주의료원,,,,,,,,A15 A16 A30 A33,A37 A38 A41 A42,A1 A26 A29 A32
임상심화실습1,삼성서울,,,,,,,,A34 A8,A39 A5,
임상심화실습1,보라매병원,,,,,B18 B7,B38 B39,B34 B50,A4 A9,A6 A7,A31 A44
지역,원주시보건소,,,,,B17 B21 B24 B25 B39 B41,B10 B2 B22 B27 B3 B6,B1 B16 B18 B19 B20 B23 B26 B46,,,
지역,강릉원주대학교 보건실,,,,,,,,A11 A2 A31 A38,A10 A24 A25 A27 A44,A16 A17 A19 A36 A41
지역,횡성군보건소,,,,,B30 B31 B34 B37 B40 B42,B32 B33 B35 B36 B48 B7,B12 B29 B38 B43 B44 B49,A21 A22 A23 A3 A42 A43,A1 A15 A18 A26 A29 A32,A12 A13 A14 A34 A37 A4
지역,서울시립동대문실버케어센터,,,,,B11 B13 B45 B5,B14 B4 B47 B50,B15 B28 B8 B9,A39 A5 A6 A7,A20 A28 A30 A9,A33 A35 A40 A8
정신,고려대학교 안암병원,,,,,B26 B9,B24 B45,B10 B33,A37 A41,A19 A34,A18 A6
정신,원주세브란스기독병원,,,,,B44 B8,B18 B21,B13 B40,A27 A28,A16 A17 A4 A8,A10 A15 A24 A3
정신,중앙보훈병원,,,,,B22 B29 B32,B12 B19 B25,B17 B30 B7,A25 A29 A35,A12 A31 A33,A30 A42 A5
정신,마포구정신건강복지센터,A1 A13 B39 B47,A2 A26 B3 B5,A20 A21 A40 B20,,,,,,,
정신,경희의료원,A14 A36 A43 A44 B36 B48,A11 A23 A38 A7 B34 B38,A22 A32 A39 A9 B37 B4,B16 B28 B31 B35 B42 B50,,,,,,
정신,늘푸른집,B14 B15 B46 B49,B23 B27 B43 B6,B1 B11 B2 B41,,,,,,,
