과목명,병원명,T1,T2,T3,T4,T5,T6
서울부민,5W,A18 A23 A30 A31,A11 A17 A26 A29 A41,A08 A10 A15 A20 A25,B14 B18 B25 B30 B37,B11 B20 B24 B34 B38,B01 B21 B26 B31 B39
삼성서울,15동,,,,B09 B28,B08 B12,
보라매,82W,A01 A08,A02 A27,A26 A32,B05 B22,B16 B26,B02 B12
보라매,61W,A07 A16,A03 A21,A19 A37,B15 B33,B27 B41,B04 B36
원주세브란스기독,101W,A09 A32,A01 A30,A05 A38,B19 B40,B32 B36,B06 B10
원주세브란스기독,52W,A15 A19 A37 A42,A12 A18 A34 A36,A28 A29 A33 A40,B24 B35 B39,B03 B21 B33,B15 B41
원주세브란스기독,61W,A02 A13,A06 A16,A14 A35,B02 B07,B01 B17,B13 B42
원주세브란스기독,82W,A03 A27,A04 A24,A22 A39,B16 B29,B05 B23,B20 B22
중앙보훈병원,81W,A12 A28,A33 A40,A34 A36 A42,B03 B06,B09 B10 B19,B28 B35
중앙보훈병원,100W,A10 A17,A22 A38 A39,A04 A31,B04 B13 B38,B31 B40,B25 B27
중앙보훈병원,111W,A14 A41,A13 A35,A07 A09 A21,B17 B23,B07 B14,B08 B37
중앙보훈병원,121W,A05 A06,A20 A23 A25,A11 A24,B11 B42,B18 B29,B30 B32 B34
